Trump,['RT @realDonaldTrump: I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs s…']
Trump,"['RT @realDonaldTrump: ....stem the tide of Migration through Mexico, and to our Southern Border. This is being done to greatly reduce, or el…']"
Trump,['RT @realDonaldTrump: MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!']
Trump,"['I know it is not at all “Presidential” to hit back at the Corrupt Media, or people who work for the Corrupt Media, when they make false statements about me or the Trump Administration. Problem is, if you don’t hit back, people believe the Fake News is true. So we’ll hit back!']"
Trump,"['....other than to know he was, and is, a total Loser. When he makes statements about me, they are made up, he knows nothing!']"
Trump,"['Little @DonnyDeutsch, whose show, like his previous shoebiz tries, is a disaster, has been saying that I had been a friend of his. This is false. He, &amp; separately @ErinBurnett, used to BEG me to be on episodes of the Apprentice (both were bad), but that was it. Hardly knew him,..']"
Trump,"['Just watched the Great @Rick24Barry, Basketball Hall of Famer, on the @marklevinshow @FoxNews. A wonderful interview of a very smart and interesting guy by the man, Mark Levin, who has the number one bestselling book, Unfreedom of the Press. Two Winners!']"
Trump,"['Watched MSNBC this morning just to see what the opposition was saying about events of the past week. Such lies, almost everything they were saying was the opposite of the truth. Fake News! No wonder their ratings, along with CNN, are WAY DOWN. The hatred Comcast has is amazing!']"
Trump,"['I would like to thank the President of Mexico, Andres Manuel Lopez Obrador, and his foreign minister, Marcelo Ebrard, together with all of the many representatives of both the United States and Mexico, for working so long and hard to get our agreement on immigration completed!']"
Trump,['Everyone very excited about the new deal with Mexico!']
Trump,"['Nervous Nancy Pelosi &amp; the Democrat House are getting nothing done. Perhaps they could lead the way with the USMCA, the spectacular &amp; very popular new Trade Deal that replaces NAFTA, the worst Trade Deal in the history of the U.S.A. Great for our Farmers, Manufacturers &amp; Unions!']"
Trump,['MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!']
Trump,"['Mexico will try very hard, and if they do that, this will be a very successful agreement for both the United States and Mexico!']"
Trump,"['Brandon Judd, National Border Patrol Council: “That’s going to be a huge deal because Mexico will be using their strong Immigration Laws - A game changer. People no longer will be released into the U.S.” Also, 6000 Mexican Troops at their Southern Border. Currently there are few!']"
Trump,"['While the reviews and reporting on our Border Immigration Agreement with Mexico have been very good, there has nevertheless been much false reporting (surprise!) by the Fake and Corrupt News Media, such as Comcast/NBC, CNN, @nytimes &amp; @washingtonpost. These “Fakers” are Bad News!']"
Trump,"['....stem the tide of Migration through Mexico, and to our Southern Border. This is being done to greatly reduce, or eliminate, Illegal Immigration coming from Mexico and into the United States. Details of the agreement will be released shortly by the State Department. Thank you!']"
Trump,"['I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs scheduled to be implemented by the U.S. on Monday, against Mexico, are hereby indefinitely suspended. Mexico, in turn, has agreed to take strong measures to....']"
Trump,['Dow Jones has best week of the year!']
Trump,['Heading back to D.C. Many great things are happening for our Country!']
Trump,"['For all of the money we are spending, NASA should NOT be talking about going to the Moon - We did that 50 years ago. They should be focused on the much bigger things we are doing, including Mars (of which the Moon is a part), Defense and Science!']"
Trump,['Democrats are incapable of doing a good and solid Immigration Bill!']
Trump,"['If we are able to make the deal with Mexico, &amp; there is a good chance that we will, they will begin purchasing Farm &amp; Agricultural products at very high levels, starting immediately. If we are unable to make the deal, Mexico will begin paying Tariffs at the 5% level on Monday!']"
Trump,['...and have no intention of doing anything other than going on a fishing expedition to see if they can find anything on me - both illegal &amp; unprecedented in U.S. history. There was no Collusion - Investigate the Investigators! Go to work on Drug Price Reductions &amp; Infrastructure!']
